Prefix_index,Cycle_index,"Gain	SINAD with Calibration	THD with Calibration	SINAD without Calibration	THD without Calibration"
9, 6, 15.1812, 78.71, -89.89, 61.97, -70.65
9, 7, 15.1840, 78.92, -90.41, 61.80, -70.37
9, 8, 15.1704, 78.21, -89.68, 61.77, -70.78
9, 9, 15.1725, 78.66, -89.90, 61.83, -71.12
9, 10, 15.1746, 78.65, -89.98, 61.78, -70.78
10, 1, 15.1520, 78.10, -88.84, 61.67, -71.23
10, 2, 15.1587, 77.97, -88.35, 61.87, -70.53
10, 3, 15.1710, 78.36, -89.34, 61.73, -70.25
10, 4, 15.1738, 78.60, -89.60, 61.94, -70.67
10, 5, 15.1733, 78.29, -89.43, 61.76, -70.43
10, 6, 15.1720, 78.50, -89.08, 61.96, -70.55
10, 7, 15.1619, 78.35, -89.42, 61.71, -71.03
10, 8, 15.1669, 78.19, -88.96, 61.78, -70.58
10, 9, 15.1614, 78.23, -88.79, 61.88, -70.63
10, 10, 15.1617, 78.10, -88.73, 61.72, -70.55
11, 1, 15.1048, 76.62, -86.89, 61.36, -70.79
11, 2, 15.1208, 77.01, -87.03, 61.41, -70.22
11, 3, 15.1436, 77.78, -88.25, 61.70, -70.60
11, 4, 15.1244, 77.21, -87.69, 61.52, -71.07
11, 5, 15.1325, 77.12, -87.38, 61.57, -70.50
11, 6, 15.1323, 77.33, -87.55, 61.49, -70.14
11, 7, 15.1276, 77.09, -87.15, 61.47, -70.20
11, 8, 15.1372, 77.47, -87.82, 61.53, -70.28
11, 9, 15.1295, 77.37, -88.16, 61.54, -71.18
11, 10, 15.1159, 76.92, -87.07, 61.53, -70.62
12, 1, 15.1129, 76.81, -87.14, 61.43, -70.94
12, 2, 15.1344, 77.41, -88.20, 61.57, -71.06
12, 3, 15.1367, 77.42, -87.82, 61.65, -70.56
12, 4, 15.1461, 77.79, -88.51, 61.70, -70.64
12, 5, 15.1332, 77.24, -87.47, 61.54, -70.44
12, 6, 15.1356, 77.31, -87.55, 61.57, -70.43
12, 7, 15.1239, 77.17, -87.42, 61.43, -70.33
12, 8, 15.1174, 76.94, -86.82, 61.62, -70.63
12, 9, 15.1099, 76.68, -86.95, 61.43, -70.83
12, 10, 15.1228, 76.94, -86.98, 61.48, -70.21
